,Fecha,Ubicacion,Operador,Ruta,Tipo Avion,Num Registro,cn / ln,Total Muertes en Suelo,Año,Total Abordo,Pasajeros abordo,Tripulación Abordo,Total Muertes,Muertes Pasajeros,Muertes Tripulacion,Tasa Mortalidad,Ciudad
49,1920-12-14,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,G-EAMA,HP-25,0,1920,8,6,2,4,2,2,0.5,London 
61,1921-09-06,"Paris, France",Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,0,1921,5,4,1,5,4,1,1.0,Warsaw 
62,1921-12-05,"Near Murchinson River, Australia",West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,0,1921,2,0,2,2,0,2,1.0,Geraldton 
66,1922-04-07,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,0,1922,7,5,2,7,5,2,1.0,Croydon 
68,1922-06-03,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,0,1922,3,2,1,3,2,1,1.0,Croydon 
70,1922-07-16,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,F-FREI,25,0,1922,5,4,1,5,4,1,1.0,Strasbourg 
73,1922-10-02,"Venice, Italy",de Havilland Air Service,Venice - London,de Havilland DH-9,G-EAYT,14,0,1922,4,3,1,4,3,1,1.0,Venice 
75,1922-12-03,"Fez, Morocco",Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,0,1922,1,0,1,1,0,1,1.0,Toulouse 
80,1923-05-14,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,F-AEBY,15,0,1923,6,4,2,6,4,2,1.0,Paris 
81,1923-08-27,"East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,0,1923,11,9,2,1,1,0,0.09090909090909091,Paris 
84,1923-09-14,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,0,1923,5,3,2,5,3,2,1.0,Croydon 
90,1924-04-24,Over the English Channel,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,0,1924,3,2,1,3,2,1,1.0,"Lympne, England "
91,1924-06-08,"Barranquilla, Colombia",SCADTA,Barranquilla - Bogota,Junkers F-13,A16,684,0,1924,5,3,2,5,3,2,1.0,Barranquilla 
95,1924-12-24,"Purley, England",Imperial Airways,London - Paris,de Havilland DH-34B,G-EBBX,36,0,1924,8,7,1,8,7,1,1.0,London 
96,1925-03-22,"Near Tiflis, Georgia, USSR",Zakavia,Tiflis - Suchumi,Junkers F-13,R-RECA,590,0,1925,5,3,2,5,3,2,1.0,Tiflis 
97,1925-04-25,"Alicante, Spain",Grands Express Aeriens,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,0,1925,3,1,2,3,1,2,1.0,Alicante 
98,1925-06-25,"Landrécies, France",KLM Royal Dutch Airlines,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,0,1925,4,3,1,4,3,1,1.0,Amsterdam 
100,1925-07-20,"Rosas, Spain",Lignes Aeriennes Latecoere,Toulouse - Barcelona,Breguet 14,F-AFBI,209,0,1925,1,0,1,1,0,1,1.0,Toulouse 
109,1926-05-31,English Channel,Air Union,Paris - Cryodon,Breguet 14,F-ADAI,1908,0,1926,1,0,1,1,0,1,1.0,Paris 
110,1926-07-03,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,0,1926,6,4,2,6,4,2,1.0,Paris 
111,1926-07-09,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,0,1926,2,1,1,2,1,1,1.0,Amsterdam 
113,1926-08-18,"Hurst, Kent, England",Air Union,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,0,1926,15,13,2,3,2,1,0.2,"Lebourget, France "
115,1926-10-02,"Leigh, Kent, Unied Kingdom",Air Union,Paris - London,Bleriot 155,F- AICQ,1,0,1926,7,5,2,7,5,2,1.0,Paris 
117,1926-10-21,English Channel,Imperial Airways,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,0,1926,12,10,2,0,0,0,0.0,Croydon 
118,1926-11-11,"Cape Bojador, Morocco",Grands Express Aeriens,Casablanca -Dakar,Breguet 14,F-AFAX,198,0,1926,3,3,0,3,3,0,1.0,Casablanca 
120,1927-01-12,"Estaires, France",Fokker,Delivery flight,Fokker F-VII,G-EBPL,4938,0,1927,0,0,2,0,0,2,,Delivery flight
122,1927-03-24,"Tambo, Qld, Australia",Qantas,Charleville - Tambo - Blackall,de Havilland DH-9C,G-AUED,86,0,1927,3,2,1,3,2,1,1.0,Charleville 
124,1927-04-22,"Floh, Germany",Deutsche Lufthansa,Charleville - Tambo - Blackall,Fokker FG III,D-729,1567,0,1927,2,1,1,2,1,1,1.0,Charleville 
127,1927-07-27,"Amoneburg, Germany",Deutsche Lufthansa,Kassel - Frankfurt,Junkers F-13,D-206,591,0,1927,5,3,2,5,3,2,1.0,Kassel 
128,1927-08-22,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,"H-NADU
H-NADU",4993,0,1927,11,9,2,1,0,1,0.09090909090909091,Croydon 
130,1927-09-17,"Hadley, New Jersey",Reynolds Airways,Sightseeing,Fokker F-VII,NC776,4840,0,1927,12,11,1,7,6,1,0.5833333333333334,Sightseeing
131,1927-09-17,Atlantic Ocean,Private,Old Orchad Beach - Rome,Fokker F7,NX703,4899/0501,0,1927,3,1,2,3,1,2,1.0,Old Orchad Beach 
132,1927-09-23,"Schleiz, Germany",Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,D-585,075,0,1927,6,4,2,6,4,2,1.0,Berlin 
133,1927-10-06,"Thies, Mauritania",Lignes Aeriennes Latecoere,Saint Louis - Dakar,Breguet 14,F-AGBN,229,0,1927,2,0,2,2,0,2,1.0,Saint Louis 
135,1927-11-08,"Strasburg, France",CIDNA,Strasbourg - Paris,Farman F-121 Jabiru,F-AIBR,1,0,1927,1,0,1,1,0,1,1.0,Strasbourg 
136,1927-11-16,Over the Gulf of Finland,Aero O-Y,Tallinn - Helsinki,Junkers F-13,K-SALD,798,0,1927,6,4,2,6,4,2,1.0,Tallinn 
138,1927-12-28,"Almeria, Spain",Aeropostale,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFGS,227,0,1927,1,0,1,1,0,1,1.0,Dakar 
139,1927-12-31,"Near Marseille,France",Latecoere Airlines,Test flight,Latécoère 23 (flying boat),F-AIHP,23-1,0,1927,5,0,5,5,0,5,1.0,Test flight
140,1928-01-08,"Near Canajoharie, New York",Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,NC3780,39,0,1928,3,1,2,3,1,2,1.0,Minola 
141,1928-01-16,"Solis, Uruguay",Aeropostale,Buenos Aires - Montevideo,Latecoere 25,F-AIKG,633,0,1928,2,0,2,2,0,2,1.0,Buenos Aires 
143,1928-01-22,"Tarragona, Spain",Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AHEQ,240,0,1928,2,0,2,2,0,2,1.0,Casablanca 
144,1928-01-27,"Almeria, Spain",Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFHN,162,0,1928,1,0,1,1,0,1,1.0,Casablanca 
146,1928-03-11,"Off Cape Griz Nez, France",Air Union,Paris - Croydon,Farman F-60 Goliath,F-AEFC,62/6943,0,1928,2,0,2,2,0,2,1.0,Paris 
148,1928-04-19,"Minuesa, Spain",Iberia Airlines,Barcelona - Madrid,Rohrbach Roland,M-CCCC,36,0,1928,9,7,2,9,7,2,1.0,Barcelona 
150,1928-05-12,"Dearborn, Minnesota",Ford Air Freight Inc.,Dearborn - Buffalo,Ford 4,NC1492,4-AT-001,0,1928,2,0,2,2,0,2,1.0,Dearborn 
151,1928-05-26,"Radevormwald, Germany",Deutsche Lufthansa,Essen - Dortmund - Frankfurt,Junkers F-13,D-583,742,0,1928,5,4,1,3,2,1,0.6,Essen 
153,1928-06-22,"Lebo, Kansas",National Air Transport,Chicago - Dallas,Douglas M-4,NC1059,628,0,1928,1,0,1,1,0,1,1.0,Chicago 
154,1928-07-10,Over the Gulf of Finland,Aero O-Y,Tallinn - Helsinki,Junkers F-13,K-SALB,760,0,1928,6,4,2,6,4,2,1.0,Tallinn 
155,1928-07-13,"Purley, England",Imperial Airways,Testing,Vickers 74 Vulcan,G-EBLB,9,0,1928,6,5,1,4,4,0,0.6666666666666666,Testing
156,1928-07-24,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),0,1928,6,5,1,1,1,0,0.16666666666666666,Sightseeing over Rotterdam
157,1928-08-25,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,0,1928,7,5,2,7,5,2,1.0,Victoria 
158,1928-09-02,"Toul, France",CIDNA,Toul - Clermont-Ferrand,Bleriot Spad 33,F-AIEP,5/4207,0,1928,5,2,3,5,2,3,1.0,Toul 
159,1928-09-04,"Adelaide Hills, Australia",Qantas,Adelaide - Longreach,de Havilland DH.50J,G-AUHI,5,0,1928,2,0,2,1,0,1,0.5,Adelaide 
160,1928-09-04,"Pocatello, Idaho",National Parks Airways,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,NC7242,809,0,1928,7,6,1,7,6,1,1.0,Great Falls 
162,1928-10-04,"Gerona, Spain",Aeropostale,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,"F-AEEJ
F-AEEJ",159,0,1928,3,2,1,3,2,1,1.0,Casablanca 
164,1928-10-31,"Valence, France",Air Union,Paris - Lyon - Marseille,Bleriot Spad 56,F-AIMN,4381.9,0,1928,2,1,1,1,0,1,0.5,Paris 
166,1928-11-24,"Edgerton, Ohio",Universal Airlines,Cleveland - Chicago,Hamilton H-47,NC7521,46,0,1928,3,2,1,3,2,1,1.0,Cleveland 
